"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m5a.xlarge","m5zn.6xlarge","1375","469005612","13714199","13531195","0","3553907","0","486464","0","0","0","486464","138492923","2","2024-10-14T18:23:04","2024-10-14T18:31:30","2024-10-14T18:31:56","2024-10-14T18:34:27","true"
"m5n.xlarge","c5.9xlarge","743","470459433","11681748","11607994","0","3352299","0","486488","0","0","0","486488","140372795","2","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:00:09","2024-10-14T20:02:43","true"
"h1.2xlarge","c5d.9xlarge","2402","472910624","1477835","1347941","0","3486029","0","488913","0","0","0","488913","140945758","7","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:56:04","2024-10-14T18:58:46","true"
"x1e.xlarge","r4.xlarge","1179","471909446","1586975","1472694","0","3720309","0","486451","0","0","0","486451","139512948","5","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T19:00:09","2024-10-14T19:02:41","true"
"i3.xlarge","r4.8xlarge","1216","471251070","1499734","1383669","0","3402305","0","486464","0","0","0","486464","138913424","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:08:09","2024-10-14T19:10:41","true"
"m5a.8xlarge","c6a.xlarge","16920","482068230","2410137","2168633","0","5230600","0","503319","0","0","0","503319","144978484","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:40:01","2024-10-14T18:42:48","true"
"x1e.8xlarge","m5n.xlarge","11797","481590600","1703511","1549215","0","5228173","0","503277","0","0","0","503277","145987768","3","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T19:34:22","2024-10-14T19:37:07","true"
"h1.8xlarge","r4.xlarge","10443","481543793","1520650","1383393","0","5191635","0","503317","0","0","0","503317","145086187","5","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:25:45","2024-10-14T19:28:30","true"
"x1e.xlarge","c5.xlarge","1179","471909446","1586975","1472694","0","3720309","0","486451","0","0","0","486451","139914423","3","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T19:00:09","2024-10-14T19:02:41","true"
"m5n.xlarge","c6a.xlarge","743","470459433","11681748","11607994","0","3352299","0","486488","0","0","0","486488","139265637","7","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:00:09","2024-10-14T20:02:43","false"
"m5a.8xlarge","c5a.xlarge","16920","482068230","2410137","2168633","0","5230600","0","503319","0","0","0","503319","144989451","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:40:01","2024-10-14T18:42:48","true"
"c5d.2xlarge","r4.8xlarge","1243","471324737","10926300","10850060","0","3776900","0","488919","0","0","0","488919","142695518","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T20:04:13","2024-10-14T20:06:59","false"
"c6i.16xlarge","c6i.xlarge","33064","491460553","1011364","866758","0","7114217","0","541372","0","0","0","541372","155080438","2","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T20:08:27","2024-10-14T20:12:48","true"
"h1.8xlarge","c6i.xlarge","10443","481543793","1520650","1383393","0","5191635","0","503317","0","0","0","503317","144775042","2","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:25:45","2024-10-14T19:28:30","true"
"c5d.9xlarge","c5.xlarge","8231","482426851","1251321","1137901","0","5534910","0","505712","0","0","0","505712","144707989","2","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:14:17","2024-10-14T20:17:01","true"
"r4.xlarge","r4.8xlarge","1293","471319704","1698167","1589977","0","3532680","0","486452","0","0","0","486452","140117773","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:04:10","2024-10-14T19:06:42","true"
"m4.xlarge","c6a.24xlarge","869","467207267","11570670","11477750","0","3716502","0","486483","0","0","0","486483","141267546","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:52:00","2024-10-14T18:54:41","true"
"c5a.24xlarge","h1.2xlarge","30973","497422694","2025394","1797085","0","8188739","0","605238","0","0","0","605238","175379426","5","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:12:09","2024-10-14T19:15:23","true"
"c6i.xlarge","c5.xlarge","485","439306031","217210123","217125718","0","3349789","0","486482","0","0","0","486482","137567523","2","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:51:59","2024-10-14T19:54:39","true"
