"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"x1e.8xlarge","m5a.8xlarge","41848","340106","31495","16286","0","10199","0","5159","0","0","0","5159","293839","5","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:42:17","2023-10-05T17:42:42","false"
"m5zn.6xlarge","c5.9xlarge","1179","330512","25027","9771","0","10199","0","5158","0","0","0","5158","364753","10","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:04:25","2023-10-05T18:04:41","true"
"m5zn.6xlarge","m4.16xlarge","1179","330512","25027","9771","0","10199","0","5158","0","0","0","5158","1387290","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:04:25","2023-10-05T18:04:41","false"
"c6i.large","c5a.large","73424","330356","19992","8437","0","10209","0","5159","0","0","0","5159","219044","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:52:26","2023-10-05T17:52:42","false"
"r4.16xlarge","x1e.8xlarge","20739","1337587","31939","14302","0","9946","0","5160","0","0","0","5160","278529","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:49:42","2023-10-05T17:50:26","true"
"m4.16xlarge","c6a.large","48396","1491999","35589","15130","0","9943","0","5159","0","0","0","5159","351363","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:44:44","2023-10-05T17:45:07","false"
"c4.8xlarge","r4.16xlarge","45694","1915016","34068","15826","0","9943","0","5159","0","0","0","5159","702412","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:36:14","2023-10-05T17:36:30","true"
"i3.large","c5a.large","42762","1524289","30329","14531","0","10199","0","5159","0","0","0","5159","321042","3","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:26:28","2023-10-05T17:30:43","false"
"h1.2xlarge","h1.8xlarge","56629","1559835","32681","13966","0","9946","0","5159","0","0","0","5159","527458","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:20:28","2023-10-05T17:20:45","true"
"m5.large","c5a.24xlarge","49883","1662865","26931","11971","0","10202","0","5160","0","0","0","5160","219354","29","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:58:26","2023-10-05T17:58:42","false"
"m5n.large","r4.16xlarge","37679","316001","26147","11756","0","9975","0","5159","0","0","0","5159","356129","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:56:26","2023-10-05T17:56:42","false"
"r4.8xlarge","x1e.xlarge","42712","1522701","31397","14778","0","9674","0","5117","0","0","0","5117","454247","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:47:18","2023-10-05T17:47:41","true"
