"source","destination","compatibility"
"r4.8xlarge","i3.large","false"
"c6i.16xlarge","m5zn.6xlarge","false"
"i3.large","r4.16xlarge","true"
"h1.16xlarge","r4.large","false"
"x1e.8xlarge","r4.16xlarge","true"
"x1e.8xlarge","m5zn.6xlarge","false"
"h1.8xlarge","r4.16xlarge","true"
"c4.8xlarge","i3.large","false"
"m5a.8xlarge","c6a.24xlarge","false"
"c6a.24xlarge","m5a.2xlarge","false"
"i3.large","c5a.24xlarge","false"
"r4.8xlarge","c6a.24xlarge","false"
"c6a.large","m5zn.6xlarge","false"
"m5.large","c4.8xlarge","false"
"m5a.8xlarge","r4.8xlarge","false"
"c5.large","m4.16xlarge","false"
"m5zn.6xlarge","c5d.9xlarge","false"
"m5.large","m5a.8xlarge","false"
"c6a.large","c5.9xlarge","false"
"c4.8xlarge","m4.16xlarge","true"
"r4.16xlarge","m5a.large","false"
"c6i.16xlarge","c5d.9xlarge","false"
"m4.16xlarge","h1.2xlarge","false"
"m5a.large","m5a.2xlarge","true"
"c6i.large","c5a.24xlarge","false"
"m5.large","r4.large","false"
"h1.2xlarge","c5a.24xlarge","false"
"h1.16xlarge","m5zn.6xlarge","false"
"x1e.8xlarge","c4.8xlarge","false"
"m4.16xlarge","c5a.24xlarge","false"
"m5.large","r4.8xlarge","false"
"x1e.8xlarge","r4.large","false"
"i3.large","c5.9xlarge","false"
"m4.16xlarge","r4.large","false"
"r4.16xlarge","m5.large","false"
"c6a.24xlarge","r4.large","false"
"m5.large","m5a.large","false"
"c5d.9xlarge","c5a.24xlarge","false"
"m5a.2xlarge","r4.large","false"
"m5a.2xlarge","h1.8xlarge","false"
"h1.8xlarge","h1.2xlarge","false"
"m5a.2xlarge","c6i.16xlarge","false"
"m5a.8xlarge","m5.large","false"
"c5d.9xlarge","m5a.2xlarge","false"
"m5n.large","m5zn.6xlarge","true"
"c5.9xlarge","c5a.large","false"
"m4.16xlarge","c4.8xlarge","false"
"m5a.large","c5.9xlarge","false"
"m5zn.6xlarge","c6a.large","false"
"c5a.24xlarge","r4.16xlarge","false"
"m4.16xlarge","c6i.large","false"
"m5a.2xlarge","c5a.large","true"
"r4.8xlarge","m5n.large","false"
"x1e.xlarge","m5a.2xlarge","false"
"c4.8xlarge","c6a.24xlarge","false"
"x1e.8xlarge","c6i.16xlarge","false"
"h1.16xlarge","c5a.large","false"
"c5.9xlarge","x1e.xlarge","false"
"m5a.2xlarge","m5n.large","false"
"c5d.9xlarge","c5.9xlarge","true"
"x1e.8xlarge","c5d.9xlarge","false"
"m4.16xlarge","c6a.24xlarge","false"
"c5.9xlarge","c6a.24xlarge","false"
"m4.large","m5zn.6xlarge","false"
"c4.8xlarge","m5.large","false"
"m5a.2xlarge","i3.large","false"
"c5a.24xlarge","m5.large","false"
"c6a.24xlarge","m5zn.6xlarge","false"
"m4.16xlarge","m5a.large","false"
"m5.large","c6a.large","false"
"x1e.8xlarge","h1.16xlarge","false"
"h1.16xlarge","c4.8xlarge","false"
"c6a.24xlarge","x1e.8xlarge","false"
"h1.2xlarge","c4.8xlarge","false"
"m5a.2xlarge","m5a.8xlarge","true"
"m5a.large","x1e.8xlarge","false"
"c5a.large","h1.2xlarge","false"
"m5a.8xlarge","m5a.large","true"
"m5zn.6xlarge","m4.16xlarge","false"
"r4.16xlarge","c5.9xlarge","false"
"m5a.large","r4.8xlarge","false"
"c4.8xlarge","c5.9xlarge","false"
"r4.large","m4.16xlarge","false"
"c6i.16xlarge","x1e.8xlarge","false"
"r4.large","x1e.xlarge","false"
"c5a.24xlarge","r4.large","false"
"m5a.8xlarge","m5a.2xlarge","true"
"c6i.16xlarge","m4.16xlarge","false"
"r4.16xlarge","i3.large","false"
"h1.16xlarge","c5a.24xlarge","false"
"x1e.xlarge","c6i.large","false"
"m5n.large","c5a.24xlarge","false"
"h1.8xlarge","c5.9xlarge","false"
"c5d.9xlarge","m5n.large","false"
"h1.8xlarge","x1e.8xlarge","false"
"c4.8xlarge","m5a.large","false"
"c5a.24xlarge","c6i.large","false"
"x1e.8xlarge","m5n.large","false"
"r4.16xlarge","h1.16xlarge","false"
"h1.8xlarge","m5a.large","false"
"m5n.large","m5a.large","false"
"x1e.xlarge","m5zn.6xlarge","false"
"c5.large","m5n.large","true"
"x1e.8xlarge","c5.large","false"
"m5a.2xlarge","c6a.large","false"
"c5a.24xlarge","x1e.8xlarge","false"
"c5a.24xlarge","h1.16xlarge","false"
"c5a.large","r4.16xlarge","false"
"m4.large","c6i.large","false"
"h1.8xlarge","m4.16xlarge","false"
"x1e.8xlarge","m5a.large","false"
"r4.large","m5n.large","false"
"c5a.24xlarge","m5a.2xlarge","false"
"c5d.9xlarge","h1.16xlarge","false"
"c6a.24xlarge","h1.8xlarge","false"
"m4.16xlarge","m5a.2xlarge","false"
"m5.large","c6i.16xlarge","false"
"c6i.16xlarge","c6a.large","false"
"c6i.large","c5d.9xlarge","false"
"m5.large","c5.9xlarge","true"
"h1.8xlarge","m5.large","false"
"m4.large","c4.8xlarge","true"
"r4.8xlarge","x1e.xlarge","false"
"c6a.24xlarge","i3.large","false"
"x1e.8xlarge","m5a.8xlarge","false"
"c5a.large","c5.large","false"
"m5zn.6xlarge","r4.8xlarge","false"
"c4.8xlarge","r4.16xlarge","true"
"x1e.xlarge","c6a.large","false"
"m5zn.6xlarge","m4.large","false"
"c6a.24xlarge","c6a.large","false"
"r4.8xlarge","c6i.large","false"
"x1e.xlarge","c5d.9xlarge","false"
"c6a.large","h1.16xlarge","false"
"c5a.24xlarge","m5n.large","false"
"i3.large","m5a.large","false"
"c5a.24xlarge","c6i.16xlarge","false"
"i3.large","c6a.24xlarge","false"
"m5n.large","c5a.large","false"
"m5a.large","m4.16xlarge","false"
"x1e.xlarge","r4.16xlarge","true"
"r4.16xlarge","c5.large","false"
"h1.2xlarge","r4.large","true"
"c5a.large","c5d.9xlarge","false"
"c5a.24xlarge","m5a.large","false"
"c6i.16xlarge","m5n.large","false"
"m5a.8xlarge","r4.16xlarge","false"
"c5.9xlarge","c5.large","false"
"c4.8xlarge","c5a.large","false"
"c6a.large","c6i.large","false"
"h1.2xlarge","m5zn.6xlarge","false"
"h1.16xlarge","x1e.8xlarge","false"
"r4.large","r4.16xlarge","true"
"c5d.9xlarge","m5a.8xlarge","false"
"c5d.9xlarge","c5.large","false"
"c5.large","i3.large","false"
"c5.large","r4.8xlarge","false"
"m4.large","i3.large","true"
"m5.large","c6a.24xlarge","false"
"c6a.24xlarge","m5a.large","false"
"h1.16xlarge","m5.large","false"
"c4.8xlarge","m5a.2xlarge","false"
"c6i.16xlarge","c5a.large","false"
"m5.large","h1.8xlarge","false"
"m5a.large","r4.large","false"
"x1e.8xlarge","i3.large","false"
"m4.large","c5.large","false"
"r4.16xlarge","c5a.large","false"
"c6a.large","i3.large","false"
"m5a.8xlarge","m5n.large","false"
"m5zn.6xlarge","c5.9xlarge","false"
"h1.2xlarge","m5a.8xlarge","false"
"c5.9xlarge","x1e.8xlarge","false"
"m5a.8xlarge","c6a.large","false"
"c6a.24xlarge","c5.large","false"
"m4.large","c5d.9xlarge","false"
"r4.8xlarge","c5a.24xlarge","false"
"r4.16xlarge","r4.8xlarge","true"
"c6a.24xlarge","h1.16xlarge","false"
"r4.8xlarge","m5a.8xlarge","false"
"m4.16xlarge","h1.16xlarge","false"
"i3.large","m4.16xlarge","false"
"c6a.large","x1e.8xlarge","false"
"m5a.8xlarge","i3.large","false"
"r4.large","m5.large","false"
"m5n.large","c5.large","false"
"c5.large","c4.8xlarge","false"
"h1.16xlarge","m5a.8xlarge","false"
"r4.8xlarge","c5.large","false"
"m4.large","x1e.xlarge","true"
"c5d.9xlarge","m5a.large","false"
"c5.large","c6i.large","false"
"x1e.xlarge","m5a.large","false"
"h1.8xlarge","m5a.2xlarge","false"
"c5.9xlarge","c4.8xlarge","false"
"m5a.large","i3.large","false"
"m5n.large","h1.16xlarge","false"
"c4.8xlarge","r4.large","false"
"h1.16xlarge","h1.2xlarge","false"
"c6i.large","m5n.large","false"
"c5a.large","m5.large","false"
"c5a.large","r4.8xlarge","false"
"r4.8xlarge","m4.16xlarge","false"
"c6a.large","c6a.24xlarge","true"
"h1.2xlarge","c6a.24xlarge","false"
"c6i.large","i3.large","false"
"h1.8xlarge","m5a.8xlarge","false"
"h1.8xlarge","r4.8xlarge","true"
"c6i.16xlarge","m4.large","false"
"c5a.large","r4.large","false"
"r4.large","m5a.large","false"
"m5n.large","r4.16xlarge","false"
"c5d.9xlarge","c6i.large","false"
"c5d.9xlarge","c5a.large","false"
"m5zn.6xlarge","m5a.2xlarge","false"
"r4.16xlarge","x1e.8xlarge","false"
"m4.16xlarge","x1e.xlarge","false"
"c5a.large","c6a.24xlarge","false"
"x1e.8xlarge","m5a.2xlarge","false"
"c5.9xlarge","c6a.large","false"
"r4.16xlarge","c6a.large","false"
"c5a.24xlarge","i3.large","false"
"c6i.16xlarge","c6a.24xlarge","false"
"c5.9xlarge","m5zn.6xlarge","true"
"r4.16xlarge","h1.8xlarge","false"
"m4.large","r4.large","true"
"i3.large","c6i.large","false"
"c6i.large","c5.9xlarge","false"
"c6a.24xlarge","c5a.large","false"
"m4.large","c5.9xlarge","false"
"m4.16xlarge","h1.8xlarge","false"
"h1.16xlarge","m4.16xlarge","false"
"m5n.large","m4.large","false"
"m5n.large","h1.8xlarge","false"
"c5d.9xlarge","c6a.large","false"
"r4.8xlarge","c5.9xlarge","false"
"x1e.xlarge","m4.16xlarge","true"
"i3.large","r4.8xlarge","true"
"m5a.2xlarge","h1.2xlarge","false"
"i3.large","h1.16xlarge","false"
"h1.16xlarge","c5d.9xlarge","false"
"x1e.xlarge","x1e.8xlarge","true"
"m5zn.6xlarge","x1e.xlarge","false"
"x1e.xlarge","m5a.8xlarge","false"
"x1e.xlarge","c5a.large","false"
"m5zn.6xlarge","h1.8xlarge","false"
"c6a.large","h1.2xlarge","false"
"x1e.8xlarge","c5.9xlarge","false"
"i3.large","c4.8xlarge","false"
"m5a.2xlarge","c4.8xlarge","false"
"c6a.large","c6i.16xlarge","false"
"c5.9xlarge","c6i.16xlarge","false"
"x1e.8xlarge","x1e.xlarge","false"
"c6a.24xlarge","m5.large","false"
"c5a.large","x1e.xlarge","false"
"m5n.large","c6a.24xlarge","false"
"m5a.2xlarge","c6i.large","false"
"r4.large","x1e.8xlarge","false"
"c6a.large","m4.16xlarge","false"
"c5a.24xlarge","m5a.8xlarge","false"
"c6i.large","c6i.16xlarge","true"
"c5d.9xlarge","x1e.xlarge","false"
"c5d.9xlarge","i3.large","false"
"c5a.24xlarge","c5.large","false"
"r4.large","c6a.24xlarge","false"
"m4.large","m5a.large","false"
"h1.2xlarge","c5a.large","false"
"x1e.8xlarge","c6a.24xlarge","false"
"c6a.large","r4.large","false"
"x1e.xlarge","c6i.16xlarge","false"
"c5a.24xlarge","c6a.24xlarge","false"
"c5a.24xlarge","c5d.9xlarge","false"
"m5a.large","h1.16xlarge","false"
"h1.8xlarge","c5d.9xlarge","false"
"m5zn.6xlarge","c6i.16xlarge","false"
"c4.8xlarge","c5d.9xlarge","false"
"c6i.16xlarge","m5a.large","false"
"m5n.large","m4.16xlarge","false"
"i3.large","m5.large","false"
"m5.large","h1.16xlarge","false"
"m4.16xlarge","c6a.large","false"
"m4.large","c6a.24xlarge","false"
"c6a.24xlarge","m4.16xlarge","false"
"r4.16xlarge","c4.8xlarge","false"
"r4.8xlarge","h1.16xlarge","false"
"i3.large","c6i.16xlarge","false"
"h1.2xlarge","c6i.16xlarge","false"
"m5n.large","h1.2xlarge","false"
"c6a.24xlarge","c5a.24xlarge","false"
"c5.9xlarge","m4.16xlarge","false"
"m4.large","h1.16xlarge","true"
"h1.2xlarge","i3.large","true"
"m5a.large","m4.large","false"
"i3.large","m4.large","false"
"m5a.8xlarge","c5a.large","true"
"c5.large","h1.16xlarge","false"
"r4.8xlarge","c5d.9xlarge","false"
"m4.16xlarge","r4.8xlarge","true"
"m5zn.6xlarge","x1e.8xlarge","false"
"c6i.16xlarge","c6i.large","false"
"c5d.9xlarge","m4.large","false"
"m5a.8xlarge","m4.16xlarge","false"
"c6a.24xlarge","c4.8xlarge","false"
"c4.8xlarge","m5n.large","false"
"m4.16xlarge","r4.16xlarge","true"
"c5d.9xlarge","m4.16xlarge","false"
"r4.large","i3.large","true"
"c6i.large","c5.large","false"
"m5.large","c5d.9xlarge","true"
"c5a.large","x1e.8xlarge","false"
"m5a.8xlarge","h1.16xlarge","false"
"m4.16xlarge","i3.large","false"
"x1e.8xlarge","h1.8xlarge","false"
"c5d.9xlarge","r4.16xlarge","false"
"c5a.large","c5a.24xlarge","true"
"c5a.24xlarge","x1e.xlarge","false"
"c6i.16xlarge","m5.large","false"
"m4.large","c6a.large","false"
"c6a.large","m4.large","false"
"m5zn.6xlarge","r4.16xlarge","false"
"r4.8xlarge","c6i.16xlarge","false"
"c6a.24xlarge","h1.2xlarge","false"
"m4.large","c5a.large","false"
"h1.16xlarge","m5a.2xlarge","false"
"r4.16xlarge","c5d.9xlarge","false"
"c5a.24xlarge","c6a.large","false"
"m5a.2xlarge","m5zn.6xlarge","false"
"m5a.8xlarge","h1.8xlarge","false"
"m5a.2xlarge","c6a.24xlarge","false"
"x1e.xlarge","h1.8xlarge","false"
"c6i.16xlarge","r4.large","false"
"h1.8xlarge","m5zn.6xlarge","false"
"h1.8xlarge","c5.large","false"
"h1.8xlarge","c5a.24xlarge","false"
"c6i.16xlarge","h1.2xlarge","false"
"c6i.large","m5a.large","false"
"c6i.large","c5a.large","false"
"c5.large","m5a.2xlarge","false"
"c5a.24xlarge","c5a.large","false"
"m4.large","c5a.24xlarge","false"
"c4.8xlarge","c6i.large","false"
"c6i.16xlarge","i3.large","false"
"h1.2xlarge","m4.large","false"
"m5.large","h1.2xlarge","false"
"m4.large","r4.8xlarge","true"
"c5a.large","m5a.8xlarge","false"
"h1.2xlarge","c5.9xlarge","false"
"h1.16xlarge","c5.large","false"
"c5a.large","m5a.2xlarge","false"
"c5a.large","m4.16xlarge","false"
"c5a.large","c4.8xlarge","false"
"c4.8xlarge","m5zn.6xlarge","false"
"c5.large","m4.large","false"
"m5a.2xlarge","c5.large","false"
"c6i.large","x1e.8xlarge","false"
"r4.large","c6a.large","false"
"h1.8xlarge","x1e.xlarge","false"
"r4.8xlarge","c6a.large","false"
"x1e.8xlarge","c5a.large","false"
"r4.16xlarge","c6i.16xlarge","false"
"h1.16xlarge","m4.large","false"
"c6i.16xlarge","c5.9xlarge","false"
"x1e.xlarge","m5.large","false"
"m5a.large","c5.large","false"
"c5a.large","m5n.large","false"
"c6i.large","h1.16xlarge","false"
"r4.8xlarge","r4.large","false"
"m5a.large","m5zn.6xlarge","false"
"c6a.large","c5d.9xlarge","false"
"h1.2xlarge","m5a.large","false"
"m5n.large","i3.large","false"
"c5a.24xlarge","c5.9xlarge","false"
"c6a.large","c5.large","false"
"m5a.2xlarge","m4.large","false"
"r4.large","h1.2xlarge","false"
"h1.16xlarge","m5a.large","false"
"x1e.xlarge","r4.large","true"
"m4.large","r4.16xlarge","true"
"m5.large","r4.16xlarge","false"
"c5d.9xlarge","x1e.8xlarge","false"
"i3.large","x1e.xlarge","false"
"m5a.8xlarge","c5a.24xlarge","true"
"c5a.large","c5.9xlarge","false"
"c6i.large","m4.16xlarge","false"
"x1e.8xlarge","c6i.large","false"
"c6i.16xlarge","c4.8xlarge","false"
"i3.large","m5a.2xlarge","false"
"m5zn.6xlarge","r4.large","false"
"r4.large","m5a.8xlarge","false"
"c5.large","c5.9xlarge","true"
"m5a.2xlarge","x1e.xlarge","false"
"r4.16xlarge","m5a.8xlarge","false"
"c4.8xlarge","m5a.8xlarge","false"
"r4.8xlarge","m5zn.6xlarge","false"
"c5a.24xlarge","h1.2xlarge","false"
"c6a.large","m5.large","false"
"c6i.large","h1.2xlarge","false"
"m5n.large","c5.9xlarge","false"
"c5.9xlarge","m5a.8xlarge","false"
"h1.16xlarge","c6i.large","false"
"c5d.9xlarge","h1.8xlarge","false"
"m5a.2xlarge","h1.16xlarge","false"
"c5.9xlarge","m5a.2xlarge","false"
"m5zn.6xlarge","m5n.large","false"
"c5.9xlarge","c5d.9xlarge","true"
"r4.8xlarge","r4.16xlarge","true"
"m4.large","c6i.16xlarge","false"
"c6i.large","m4.large","false"
"c6a.24xlarge","m5n.large","false"
"m4.large","h1.2xlarge","true"
"x1e.8xlarge","c5a.24xlarge","false"
"h1.16xlarge","m5n.large","false"
"c6i.16xlarge","m5a.8xlarge","false"
"c6i.16xlarge","h1.8xlarge","false"
"m5.large","c5a.24xlarge","false"
"m5a.2xlarge","c5a.24xlarge","true"
"x1e.xlarge","m5n.large","false"
"h1.2xlarge","m5a.2xlarge","false"
"m5zn.6xlarge","i3.large","false"
"c4.8xlarge","c6a.large","false"
"h1.2xlarge","c6a.large","false"
"m4.large","m5a.8xlarge","false"
"m4.16xlarge","m4.large","false"
"h1.2xlarge","h1.8xlarge","true"
"c5a.large","c6a.large","false"
"r4.large","r4.8xlarge","true"
"m5n.large","x1e.8xlarge","false"
"m5n.large","r4.8xlarge","false"
"m5zn.6xlarge","m5a.large","false"
"c6a.24xlarge","r4.16xlarge","false"
"m5a.large","m5a.8xlarge","true"
"c5.9xlarge","r4.16xlarge","false"
"h1.16xlarge","r4.8xlarge","true"
"m5a.large","c4.8xlarge","false"
"r4.8xlarge","m4.large","false"
"c5d.9xlarge","m5zn.6xlarge","true"
"c6i.large","x1e.xlarge","false"
"c5.9xlarge","h1.16xlarge","false"
"m5zn.6xlarge","c5a.24xlarge","false"
"c5.large","m5a.large","false"
"c5.9xlarge","r4.8xlarge","false"
"m5a.large","c6i.16xlarge","false"
"c6a.large","r4.8xlarge","false"
"c5a.large","i3.large","false"
"c5.large","h1.2xlarge","false"
"x1e.xlarge","m4.large","false"
"c6a.large","c5a.24xlarge","false"
"c6i.large","r4.8xlarge","false"
"c5d.9xlarge","c4.8xlarge","false"
"i3.large","c6a.large","false"
"c6a.large","x1e.xlarge","false"
"c6a.24xlarge","x1e.xlarge","false"
"c6a.large","h1.8xlarge","false"
"m5a.8xlarge","m5zn.6xlarge","false"
"m5a.large","c6a.large","false"
"r4.large","m4.large","false"
"h1.8xlarge","c6a.24xlarge","false"
"c5a.large","c6i.16xlarge","false"
"m5.large","m5a.2xlarge","false"
"x1e.8xlarge","r4.8xlarge","true"
"m5a.2xlarge","r4.8xlarge","false"
"c6i.large","c6a.24xlarge","false"
"c6a.large","m5a.large","false"
"c5d.9xlarge","r4.large","false"
"h1.16xlarge","c5.9xlarge","false"
"i3.large","m5zn.6xlarge","false"
"c6a.large","c4.8xlarge","false"
"c5.large","c6a.24xlarge","false"
"c5.large","c5d.9xlarge","true"
"x1e.8xlarge","c6a.large","false"
"m5.large","m5zn.6xlarge","true"
"c5a.large","h1.8xlarge","false"
"m5a.2xlarge","r4.16xlarge","false"
"c5a.24xlarge","m4.large","false"
"c5.large","m5.large","true"
"c5.large","x1e.xlarge","false"
"c6a.24xlarge","c5d.9xlarge","false"
"m5a.2xlarge","m5.large","false"
"m5n.large","c6i.large","false"
"m5zn.6xlarge","c5.large","false"
"m4.16xlarge","m5n.large","false"
"m4.16xlarge","c6i.16xlarge","false"
"r4.large","c4.8xlarge","false"
"r4.large","c5.9xlarge","false"
"h1.8xlarge","c6a.large","false"
"c5a.24xlarge","m4.16xlarge","false"
"h1.16xlarge","c6a.large","false"
"m5a.large","h1.8xlarge","false"
"c5a.large","c6i.large","false"
"r4.8xlarge","h1.2xlarge","false"
"r4.8xlarge","m5a.2xlarge","false"
"c5.large","c5a.large","false"
"m5n.large","c6a.large","false"
"c6i.large","m5zn.6xlarge","false"
"c5a.large","m4.large","false"
"c4.8xlarge","c5.large","false"
"m5zn.6xlarge","c5a.large","false"
"x1e.xlarge","c6a.24xlarge","false"
"m5a.8xlarge","x1e.xlarge","false"
"m5.large","i3.large","false"
"c5d.9xlarge","r4.8xlarge","false"
"m5.large","x1e.xlarge","false"
"h1.16xlarge","x1e.xlarge","false"
"m5n.large","c6i.16xlarge","false"
"c5d.9xlarge","m5.large","false"
"c5.9xlarge","c5a.24xlarge","false"
"h1.8xlarge","i3.large","false"
"r4.large","h1.16xlarge","false"
"c6a.large","c5a.large","false"
"i3.large","c5.large","false"
"c5.large","m5a.8xlarge","false"
"r4.16xlarge","m4.large","false"
"m5a.large","h1.2xlarge","false"
"c4.8xlarge","h1.8xlarge","true"
"h1.8xlarge","m4.large","false"
"c4.8xlarge","x1e.8xlarge","true"
"m5a.8xlarge","c6i.16xlarge","false"
"m5a.large","m5n.large","false"
"r4.8xlarge","m5a.large","false"
"c6i.16xlarge","c5.large","false"
"c6a.large","m5a.2xlarge","false"
"m5a.large","c6i.large","false"
"m5a.8xlarge","c5.9xlarge","false"
"r4.16xlarge","x1e.xlarge","false"
"m5.large","x1e.8xlarge","false"
"x1e.xlarge","c5a.24xlarge","false"
"x1e.xlarge","c5.large","false"
"c5.9xlarge","m5.large","false"
"m4.large","x1e.8xlarge","true"
"r4.16xlarge","r4.large","false"
"m4.large","m5n.large","false"
"c6i.large","m5a.8xlarge","false"
"h1.16xlarge","c6i.16xlarge","false"
"m5.large","c5a.large","false"
"c6i.large","m5.large","false"
"m5zn.6xlarge","c4.8xlarge","false"
"x1e.xlarge","r4.8xlarge","true"
"m4.large","m5a.2xlarge","false"
"r4.large","m5zn.6xlarge","false"
"c4.8xlarge","h1.16xlarge","true"
"c5a.24xlarge","r4.8xlarge","false"
"c5a.large","m5zn.6xlarge","false"
"m5a.large","m5.large","false"
"c5.large","h1.8xlarge","false"
"r4.8xlarge","x1e.8xlarge","false"
"m4.16xlarge","m5zn.6xlarge","false"
"c6i.16xlarge","m5a.2xlarge","false"
"c5.large","c5a.24xlarge","false"
"r4.16xlarge","m5a.2xlarge","false"
"m5a.8xlarge","r4.large","false"
"c5.9xlarge","c6i.large","false"
"c5.9xlarge","h1.8xlarge","false"
"m5a.large","c6a.24xlarge","false"
"c6a.24xlarge","c6i.16xlarge","false"
"c5.large","c6a.large","false"
"m4.16xlarge","c5a.large","false"
"m5a.large","x1e.xlarge","false"
"m5n.large","x1e.xlarge","false"
"m5zn.6xlarge","h1.2xlarge","false"
"c5.9xlarge","m5a.large","false"
"i3.large","m5n.large","false"
"c5.9xlarge","m5n.large","false"
"m5n.large","r4.large","false"
"m4.16xlarge","c5.large","false"
"m5a.8xlarge","c4.8xlarge","false"
"c5a.24xlarge","m5zn.6xlarge","false"
"c4.8xlarge","x1e.xlarge","false"
"c6a.24xlarge","m4.large","false"
"c6a.24xlarge","c6i.large","false"
"r4.large","m5a.2xlarge","false"
"c4.8xlarge","c5a.24xlarge","false"
"m5n.large","m5.large","false"
"m5a.8xlarge","c5.large","false"
"c5.large","x1e.8xlarge","false"
"h1.8xlarge","m5n.large","false"
"c4.8xlarge","h1.2xlarge","false"
"m4.large","m5.large","false"
"c5d.9xlarge","c6a.24xlarge","false"
"m5a.8xlarge","x1e.8xlarge","false"
"r4.8xlarge","c4.8xlarge","false"
"r4.16xlarge","m4.16xlarge","false"
"i3.large","c5a.large","false"
"c6i.16xlarge","r4.16xlarge","false"
"h1.2xlarge","r4.8xlarge","true"
"x1e.8xlarge","h1.2xlarge","false"
"h1.8xlarge","c6i.16xlarge","false"
"c6i.16xlarge","c5a.24xlarge","false"
"c5.9xlarge","m4.large","false"
"c6a.24xlarge","r4.8xlarge","false"
"c5.large","c6i.16xlarge","false"
"c4.8xlarge","r4.8xlarge","true"
"r4.16xlarge","c6i.large","false"
"c5a.large","m5a.large","false"
"x1e.xlarge","h1.16xlarge","false"
"c6a.large","m5a.8xlarge","false"
"i3.large","x1e.8xlarge","false"
"r4.large","c5a.large","false"
"r4.large","c5.large","false"
"x1e.xlarge","h1.2xlarge","false"
"m4.16xlarge","c5d.9xlarge","false"
"m4.large","m4.16xlarge","true"
"i3.large","h1.2xlarge","false"
"m5n.large","c4.8xlarge","false"
"c4.8xlarge","c6i.16xlarge","false"
"m5a.2xlarge","x1e.8xlarge","false"
"m5a.2xlarge","c5d.9xlarge","false"
"c6i.16xlarge","h1.16xlarge","false"
"m5a.8xlarge","h1.2xlarge","false"
"i3.large","c5d.9xlarge","false"
"h1.2xlarge","m5n.large","false"
"c5.large","r4.large","false"
"h1.2xlarge","m4.16xlarge","false"
"h1.2xlarge","x1e.8xlarge","false"
"h1.8xlarge","r4.large","false"
"r4.16xlarge","m5zn.6xlarge","false"
"r4.16xlarge","c6a.24xlarge","false"
"c6i.large","m5a.2xlarge","false"
"x1e.xlarge","i3.large","true"
"m5a.2xlarge","m4.16xlarge","false"
"c6i.large","r4.large","false"
"r4.16xlarge","m5n.large","false"
"m5zn.6xlarge","c6a.24xlarge","false"
"m5n.large","m5a.8xlarge","false"
"m5a.large","c5d.9xlarge","false"
"m5a.2xlarge","m5a.large","true"
"m4.16xlarge","x1e.8xlarge","true"
"h1.2xlarge","c6i.large","false"
"m5.large","m5n.large","true"
"c4.8xlarge","m4.large","false"
"m4.16xlarge","m5.large","false"
"h1.16xlarge","i3.large","false"
"m5.large","c5.large","true"
"i3.large","h1.8xlarge","false"
"i3.large","r4.large","true"
"c5.large","r4.16xlarge","false"
"m5n.large","m5a.2xlarge","false"
"r4.large","c5a.24xlarge","false"
"r4.large","c6i.16xlarge","false"
