"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"h1.8xlarge","t3.nano","3282","9798875","48390","31364","0","359414","0","10620","0","0","0","10620","839581","5","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-31T00:29:17","2023-05-31T00:29:17","true"
"c5d.9xlarge","t3.nano","1866","681064","41231","23302","0","409227","0","11096","0","0","0","11096","772558","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:05:45","2023-05-31T01:05:45","true"
"c6a.large","m5a.large","153","9107436","23149","12617","0","52244","0","10445","0","0","0","10445","392621","6","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:05:53","2023-05-31T00:05:53","true"
"m5n.large","m4.16xlarge","243","9257346","34664","22923","0","44655","0","10474","0","0","0","10474","1500231","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:57:55","2023-05-31T00:57:55","false"
"m5zn.6xlarge","r4.large","1343","8838922","34092","20135","0","294381","0","11075","0","0","0","11075","618286","10","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:08:26","2023-05-31T01:08:26","false"
"x1e.8xlarge","r4.large","3496","9679651","47117","31428","0","359421","0","10618","0","0","0","10618","1264967","10","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:37:29","2023-05-31T00:37:29","true"
"c4.8xlarge","c5a.large","3074","9818745","48793","23115","0","400386","0","10624","0","0","0","10624","421939","3","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:25:46","2023-05-31T00:25:46","true"
"m5a.2xlarge","c6a.24xlarge","1085","9494526","37384","25027","0","113864","0","10521","0","0","0","10521","1704404","3","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-30T23:59:44","2023-05-30T23:59:44","true"
"i3.large","m5a.8xlarge","290","9433429","42601","27196","0","44634","0","10443","0","0","0","10443","736339","5","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:14:14","2023-05-31T00:14:14","false"
"i3.large","t3.micro","290","9433429","42601","27196","0","44634","0","10443","0","0","0","10443","1148756","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:14:14","2023-05-31T00:14:14","true"
