"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"r4.8xlarge","c6a.24xlarge","602","266724","35111","2913","0","18340","0","653","0","0","0","653","49191","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:41:15","2023-06-17T18:41:31","false"
"c5.large","c6i.16xlarge","288","200267","10106","1403","0","16802","0","533","0","0","0","533","70483","11","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","true"
"c6a.24xlarge","h1.16xlarge","479","226699","13883","2149","0","20388","0","914","0","0","0","914","75114","7","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:19","true"
"m5a.large","c5.9xlarge","350","200455","11011","1674","0","16803","0","532","0","0","0","532","58476","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:10","true"
"r4.large","h1.8xlarge","535","217066","16622","2038","0","16801","0","533","0","0","0","533","70883","8","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","true"
"m5a.large","c5.large","350","200455","11011","1674","0","16803","0","532","0","0","0","532","55137","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:57","2023-06-17T17:55:10","true"
"m5a.large","m4.large","350","200455","11011","1674","0","16803","0","532","0","0","0","532","79404","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:10","true"
"i3.large","t3a.nano","561","229495","12711","1938","0","16804","0","531","0","0","0","531","100825","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:19:43","2023-06-17T18:19:59","false"
"r4.large","t3a.nano","535","217066","16622","2038","0","16801","0","533","0","0","0","533","122101","6","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:17:06","2023-06-17T18:17:22","false"
"x1e.8xlarge","r4.large","552","222957","14990","3185","0","18338","0","653","0","0","0","653","65737","13","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:06","2023-06-17T18:35:20","true"
"m4.16xlarge","m5a.large","862","244000","16880","4061","0","18338","0","783","0","0","0","783","72055","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:32","2023-06-17T18:38:48","false"
"t3.micro","c6a.large","467","214867","11217","1600","0","16804","0","533","0","0","0","533","48764","2","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:08","2023-06-17T18:58:26","false"
"c5.9xlarge","m4.large","661","237631","15059","2094","0","18339","0","672","0","0","0","672","84196","13","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:57","2023-06-17T19:13:21","false"
"m5.large","m5n.large","328","204422","14239","1577","0","16801","0","533","0","0","0","533","56925","8","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T19:01:04","2023-06-17T19:01:21","true"
"c5d.9xlarge","r4.16xlarge","408","241741","13161","2248","0","18339","0","670","0","0","0","670","75842","8","2023-06-17T17:50:51","2023-06-17T17:51:23","2023-06-17T19:06:50","2023-06-17T19:07:06","false"
"x1e.8xlarge","h1.2xlarge","552","222957","14990","3185","0","18338","0","653","0","0","0","653","63396","12","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:04","2023-06-17T18:35:21","true"
"c5.large","m5zn.6xlarge","291","217446","11720","1411","0","16809","0","530","0","0","0","530","89989","10","2023-06-18T20:59:26","2023-06-18T20:59:46","2023-06-18T21:00:32","2023-06-18T21:00:39","true"
"t3.micro","t3a.nano","467","214867","11217","1600","0","16804","0","533","0","0","0","533","87970","5","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:08","2023-06-17T18:58:25","false"
"h1.16xlarge","c5.9xlarge","950","229615","16066","3842","0","18340","0","783","0","0","0","783","62671","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:32:38","2023-06-17T18:32:53","true"
"t3.micro","h1.2xlarge","467","214867","11217","1600","0","16804","0","533","0","0","0","533","64330","8","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:08","2023-06-17T18:58:25","false"
"m5a.large","m4.16xlarge","350","200455","11011","1674","0","16803","0","532","0","0","0","532","73422","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:10","true"
"h1.2xlarge","m5a.large","577","222330","11444","2166","0","16802","0","558","0","0","0","558","61623","5","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:12:08","2023-06-17T18:12:22","true"
"m4.16xlarge","x1e.8xlarge","862","244000","16880","4061","0","18338","0","783","0","0","0","783","68352","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:38:32","2023-06-17T18:38:48","true"
"c6a.large","m5a.2xlarge","274","196966","10148","898","0","16804","0","532","0","0","0","532","59082","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:04:37","2023-06-17T18:04:52","true"
"c5a.large","c5a.24xlarge","405","220156","11752","1199","0","16803","0","531","0","0","0","531","55783","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:02:09","2023-06-17T18:02:26","true"
"c5.large","m5n.large","288","200267","10106","1403","0","16802","0","533","0","0","0","533","57273","9","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","true"
"x1e.8xlarge","r4.16xlarge","552","222957","14990","3185","0","18338","0","653","0","0","0","653","81745","27","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:05","2023-06-17T18:35:21","true"
"c5d.9xlarge","c5.large","408","241741","13161","2248","0","18339","0","670","0","0","0","670","60106","3","2023-06-17T17:50:51","2023-06-17T17:51:23","2023-06-17T19:06:49","2023-06-17T19:07:06","true"
"m5a.large","c6a.24xlarge","350","200455","11011","1674","0","16803","0","532","0","0","0","532","54444","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:54:56","2023-06-17T17:55:10","true"
"t3a.nano","i3.large","403","227300","13523","2185","0","16804","0","533","0","0","0","533","73918","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:52:34","2023-06-17T17:52:49","true"
"c5a.24xlarge","c4.8xlarge","716","265257","14310","2810","0","20387","0","915","0","0","0","915","71704","6","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:22:20","2023-06-17T18:22:37","true"
"c6i.large","r4.16xlarge","233","201124","9747","1006","0","16803","0","533","0","0","0","533","75615","8","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:46:47","2023-06-17T18:47:04","false"
"t3.micro","r4.large","467","214867","11217","1600","0","16804","0","533","0","0","0","533","69847","9","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:58:07","2023-06-17T18:58:25","false"
"c5.9xlarge","t2.nano","661","237631","15059","2094","0","18339","0","672","0","0","0","672","105992","7","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:12:59","2023-06-17T19:13:21","false"
"c5a.24xlarge","c6a.24xlarge","716","265257","14310","2810","0","20387","0","915","0","0","0","915","55615","2","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:22:21","2023-06-17T18:22:38","true"
"x1e.8xlarge","c5.9xlarge","552","222957","14990","3185","0","18338","0","653","0","0","0","653","56550","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:35:04","2023-06-17T18:35:21","true"
"c5.large","t3.micro","288","200267","10106","1403","0","16802","0","533","0","0","0","533","66764","10","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:52:27","2023-06-17T18:52:45","true"
"c6a.24xlarge","c5.9xlarge","479","226699","13883","2149","0","20388","0","914","0","0","0","914","59271","4","2023-06-17T17:50:51","2023-06-17T17:51:22","2023-06-17T18:25:02","2023-06-17T18:25:19","true"
"m5zn.6xlarge","c6i.large","237","236585","10275","1610","0","16804","0","621","0","0","0","621","53484","3","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T19:09:45","2023-06-17T19:10:04","true"
"m5a.2xlarge","c5d.9xlarge","553","217226","11376","1819","0","16801","0","553","0","0","0","553","72589","12","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T17:57:20","2023-06-17T17:57:36","true"
"r4.16xlarge","c5.large","752","263311","15754","4132","0","18339","0","784","0","0","0","784","53859","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:44:04","2023-06-17T18:44:22","true"
"m4.large","i3.large","536","221619","13491","1993","0","16803","0","531","0","0","0","531","65492","8","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:09:36","2023-06-17T18:09:55","true"
"t2.nano","m5.large","519","231069","14881","4686","0","16804","0","526","0","0","0","526","53712","4","2023-06-17T17:50:50","2023-06-17T17:51:22","2023-06-17T18:07:05","2023-06-17T18:07:23","true"
