"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c5.large","x1e.8xlarge","170","171063","10674","358","0","45889","0","116","0","0","0","116","32061","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:45:12","2023-11-05T16:45:31","false"
"c6i.16xlarge","c5.9xlarge","7588","781467","22254","1959","0","2204544","0","1176","0","0","0","1176","183454","4","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:50:53","2023-11-05T16:51:10","true"
"m5zn.6xlarge","x1e.8xlarge","1001","392145","13889","1050","0","811863","0","493","0","0","0","493","87496","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:54:27","2023-11-05T16:54:44","false"
"c6a.large","m4.16xlarge","215","141585","10557","426","0","78657","0","119","0","0","0","119","531210","6","2023-11-06T17:47:23","2023-11-06T17:47:34","2023-11-06T17:48:22","2023-11-06T17:48:37","true"
"m5zn.6xlarge","r4.16xlarge","1001","392145","13889","1050","0","811863","0","493","0","0","0","493","97991","5","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:54:27","2023-11-05T16:54:44","false"
"h1.16xlarge","c5.large","7982","732685","30484","3630","0","2237319","0","1179","0","0","0","1179","519642","3","2023-11-06T19:31:06","2023-11-06T19:31:15","2023-11-06T19:32:03","2023-11-06T19:32:21","true"
"i3.large","c5a.24xlarge","284","179969","19503","515","0","78657","0","118","0","0","0","118","26145","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:30:05","2023-11-05T16:30:24","false"
"r4.16xlarge","c5a.large","8529","753822","35852","3783","0","2237321","0","1178","0","0","0","1178","181218","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:41:38","2023-11-05T16:41:55","false"
"c6a.24xlarge","c6a.large","10025","711979","27807","3107","0","2237318","0","1179","0","0","0","1179","196116","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:33:37","2023-11-05T16:33:56","true"
"c5.9xlarge","c4.8xlarge","3452","445010","17567","1661","0","1229667","0","697","0","0","0","697","516819","5","2023-11-06T21:39:28","2023-11-06T21:39:37","2023-11-06T21:40:20","2023-11-06T21:40:36","false"
"x1e.xlarge","x1e.8xlarge","528","206193","12367","625","0","148291","0","152","0","0","0","152","37061","6","2023-11-05T16:13:05","2023-11-05T16:13:17","2023-11-05T16:26:26","2023-11-05T16:26:45","true"
"c6a.large","c5a.large","210","167020","11342","427","0","78657","0","118","0","0","0","118","27928","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:21:10","2023-11-05T16:21:30","true"
"m5a.8xlarge","r4.large","6403","483115","24471","2998","0","1123167","0","632","0","0","0","632","117815","8","2023-11-05T16:13:05","2023-11-05T16:13:16","2023-11-05T16:17:44","2023-11-05T16:18:03","true"
"r4.large","h1.8xlarge","285","170898","10490","564","0","78657","0","118","0","0","0","118","456221","8","2023-11-06T18:27:44","2023-11-06T18:27:54","2023-11-06T18:28:44","2023-11-06T18:29:00","true"
"c5.9xlarge","c5d.9xlarge","4711","524267","20071","1814","0","1229667","0","698","0","0","0","698","109496","10","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:56:15","2023-11-05T16:56:32","true"
"c5.9xlarge","c5a.24xlarge","4711","524267","20071","1814","0","1229667","0","698","0","0","0","698","134228","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:56:15","2023-11-05T16:56:32","false"
"m5a.2xlarge","c5a.large","1208","254833","15942","1158","0","287559","0","221","0","0","0","221","43260","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:16:00","2023-11-05T16:16:18","true"
"h1.16xlarge","i3.large","7982","732685","30484","3630","0","2237319","0","1179","0","0","0","1179","702421","7","2023-11-06T19:31:06","2023-11-06T19:31:15","2023-11-06T19:32:03","2023-11-06T19:32:21","true"
"r4.16xlarge","c4.8xlarge","8529","753822","35852","3783","0","2237321","0","1178","0","0","0","1178","199081","5","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:41:39","2023-11-05T16:41:55","false"
"h1.2xlarge","m5a.large","845","239758","11739","788","0","287559","0","221","0","0","0","221","50645","8","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:24:40","2023-11-05T16:24:58","true"
