"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m5a.2xlarge","h1.2xlarge","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","6387640","8","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"c4.8xlarge","r4.8xlarge","56769","769031","75896","62134","0","91495","0","26123","0","0","0","26123","2352103","5","2023-11-07T18:11:25","2023-11-07T18:11:34","2023-11-07T18:12:20","2023-11-07T18:12:37","true"
"r4.large","m5zn.6xlarge","312","199322418","763926","698820","0","4563340","0","261029","0","0","0","261029","60707454","10","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:35:51","2023-11-07T13:37:01","true"
"m5a.8xlarge","m5.large","228","491920","116527","100541","0","91485","0","25929","0","0","0","25929","1579889","5","2023-11-07T15:54:29","2023-11-07T15:54:38","2023-11-07T15:55:22","2023-11-07T15:55:37","true"
"m4.16xlarge","c6a.large","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","9064149","5","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","false"
"m5zn.6xlarge","m5n.large","1220","199413997","512879","471980","0","2948936","0","262312","0","0","0","262312","59099296","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:38:35","2023-11-07T14:39:45","true"
"m5zn.6xlarge","m5a.2xlarge","61872","1063008","64719","52556","0","95719","0","29202","0","0","0","29202","2211067","8","2023-11-07T21:03:14","2023-11-07T21:03:23","2023-11-07T21:04:09","2023-11-07T21:04:23","false"
"c6a.large","h1.2xlarge","223","188046171","107630873","107547560","0","4563492","0","261078","0","0","0","261078","57232324","10","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:22:58","2023-11-07T13:24:10","true"
"c6i.16xlarge","r4.large","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","59451682","8","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","false"
"m5a.large","m5a.8xlarge","27415","655210","97796","82157","0","79960","0","21242","0","0","0","21242","1873571","8","2023-11-07T15:31:18","2023-11-07T15:31:27","2023-11-07T15:32:13","2023-11-07T15:32:28","true"
"c6a.large","c5a.24xlarge","223","188046171","107630873","107547560","0","4563492","0","261078","0","0","0","261078","58680102","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:22:58","2023-11-07T13:24:10","true"
"c6a.24xlarge","c5a.24xlarge","8308","1203071","78434","64866","0","95727","0","30521","0","0","0","30521","2847659","6","2023-11-07T18:00:25","2023-11-07T18:00:35","2023-11-07T18:01:19","2023-11-07T18:01:34","true"
"x1e.xlarge","h1.16xlarge","127","1136711","99136","83938","0","95726","0","29233","0","0","0","29233","2373202","6","2023-11-07T16:51:28","2023-11-07T16:51:37","2023-11-07T16:52:21","2023-11-07T16:52:36","true"
"i3.large","m5zn.6xlarge","325","199408361","758036","693120","0","4563342","0","261029","0","0","0","261029","61679067","11","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:38:45","2023-11-07T13:39:56","true"
"m5.large","c5a.24xlarge","188","198833401","818198","771479","0","4563490","0","261080","0","0","0","261080","53774436","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:21:39","2023-11-07T14:26:10","false"
"c6i.16xlarge","c5.large","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","58802325","4","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","true"
"c6i.16xlarge","r4.16xlarge","68700","1337017","64414","52881","0","259595","0","35372","0","0","0","35372","2870145","5","2023-11-07T20:41:46","2023-11-07T20:41:55","2023-11-07T20:42:37","2023-11-07T20:42:53","false"
"i3.large","c6i.large","325","199408361","758036","693120","0","4563342","0","261029","0","0","0","261029","61504966","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:38:45","2023-11-07T13:39:56","true"
"m4.16xlarge","c5a.24xlarge","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","7959275","6","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","false"
"m4.large","i3.large","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","60773131","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"m5a.2xlarge","h1.16xlarge","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","6176183","5","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"r4.large","m5n.large","312","199322418","763926","698820","0","4563340","0","261029","0","0","0","261029","60845387","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:35:51","2023-11-07T13:37:01","true"
"r4.16xlarge","c6a.large","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","4871151","6","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","false"
"c5.9xlarge","m5a.large","1663","200178766","624046","572499","0","3185139","0","262988","0","0","0","262988","62181591","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:42:33","2023-11-07T14:43:56","false"
"c5a.24xlarge","r4.8xlarge","286","592805","94090","79595","0","95723","0","29770","0","0","0","29770","2476916","8","2023-11-07T17:49:21","2023-11-07T17:49:33","2023-11-07T17:50:21","2023-11-07T17:50:37","true"
"c5d.9xlarge","m5a.2xlarge","73128","1433828","92431","78616","0","289432","0","36033","0","0","0","36033","3155370","8","2023-11-07T20:52:24","2023-11-07T20:52:35","2023-11-07T20:53:18","2023-11-07T20:53:34","false"
"m4.large","x1e.xlarge","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","60336442","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"c5.large","c5d.9xlarge","191","193855072","118655463","118609682","0","4563490","0","261079","0","0","0","261079","57922816","12","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:15:54","2023-11-07T14:17:04","true"
"x1e.xlarge","m5zn.6xlarge","581","199479139","822174","756990","0","2713780","0","261190","0","0","0","261190","60397303","3","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:32:47","2023-11-07T13:33:57","true"
"m5n.large","m5.large","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","59239590","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:56","true"
"r4.16xlarge","m5a.large","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","7026648","8","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","false"
"m5a.large","c4.8xlarge","447","199373222","1299122","1213573","0","4563339","0","261029","0","0","0","261029","55886154","14","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:16:33","2023-11-07T13:17:49","true"
"r4.8xlarge","c4.8xlarge","6663","552850","99285","84339","0","95732","0","30961","0","0","0","30961","7694924","5","2023-11-07T19:14:54","2023-11-07T19:15:03","2023-11-07T19:15:51","2023-11-07T19:16:08","false"
"m5n.large","h1.2xlarge","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","57672684","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:55","false"
"x1e.8xlarge","h1.16xlarge","149","1255852","118250","103676","0","95739","0","32268","0","0","0","32268","2420099","5","2023-11-07T18:48:22","2023-11-07T18:48:32","2023-11-07T18:49:15","2023-11-07T18:49:30","true"
"m5n.large","c6i.large","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","58941285","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:56","true"
"c5d.9xlarge","c6a.large","1987","199948597","625636","569897","0","3185149","0","262989","0","0","0","262989","57978577","13","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:33:59","2023-11-07T14:35:11","false"
"m4.16xlarge","c5d.9xlarge","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","9457402","4","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","true"
"m4.16xlarge","r4.large","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","6730369","7","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","true"
"m5.large","c5d.9xlarge","188","198833401","818198","771479","0","4563490","0","261080","0","0","0","261080","56002721","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:21:39","2023-11-07T14:26:09","true"
"c5a.24xlarge","r4.16xlarge","286","592805","94090","79595","0","95723","0","29770","0","0","0","29770","2694998","6","2023-11-07T17:49:21","2023-11-07T17:49:33","2023-11-07T17:50:21","2023-11-07T17:50:37","true"
"c6i.16xlarge","c5a.24xlarge","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","59723545","5","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","false"
"c6a.24xlarge","i3.large","9480","201285075","722261","587741","0","4367738","0","266393","0","0","0","266393","59897998","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:51:44","2023-11-07T13:52:54","true"
"m4.16xlarge","h1.8xlarge","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","9277255","6","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","true"
"m4.large","c5.9xlarge","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","59588224","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"c5a.24xlarge","m4.16xlarge","286","592805","94090","79595","0","95723","0","29770","0","0","0","29770","2106741","6","2023-11-07T17:49:21","2023-11-07T17:49:33","2023-11-07T17:50:21","2023-11-07T17:50:37","true"
"r4.16xlarge","h1.2xlarge","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","6728928","8","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","true"
"c6i.large","m4.large","127","184754507","103220376","103183567","0","4563490","0","261079","0","0","0","261079","58843308","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:13:01","2023-11-07T14:14:10","false"
"r4.16xlarge","c6i.large","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","7518990","2","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","true"
"m5a.8xlarge","r4.8xlarge","228","491920","116527","100541","0","91485","0","25929","0","0","0","25929","6254547","6","2023-11-07T15:54:29","2023-11-07T15:54:38","2023-11-07T15:55:22","2023-11-07T15:55:37","true"
"c6i.large","m5a.2xlarge","24385","1326970","67840","52707","0","259596","0","34047","0","0","0","34047","2268387","8","2023-11-07T19:59:56","2023-11-07T20:00:06","2023-11-07T20:00:50","2023-11-07T20:01:05","false"
"c6i.large","r4.16xlarge","24385","1326970","67840","52707","0","259596","0","34047","0","0","0","34047","2747117","6","2023-11-07T19:59:56","2023-11-07T20:00:06","2023-11-07T20:00:50","2023-11-07T20:01:05","false"
"m4.large","c5a.large","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","59230724","33","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"c5a.large","c6i.large","261","195204237","114291379","114221868","0","4563492","0","261078","0","0","0","261078","56434331","2","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:20:06","2023-11-07T13:21:19","true"
"m5.large","m5a.2xlarge","16702","1080049","81216","69018","0","95734","0","32063","0","0","0","32063","2935351","9","2023-11-07T20:31:04","2023-11-07T20:31:13","2023-11-07T20:31:57","2023-11-07T20:32:12","false"
"c5a.large","r4.16xlarge","97537","1013856","88956","74006","0","91500","0","27003","0","0","0","27003","2248746","6","2023-11-07T16:07:36","2023-11-07T16:07:46","2023-11-07T16:08:31","2023-11-07T16:08:46","true"
"m5a.8xlarge","c6i.16xlarge","228","491920","116527","100541","0","91485","0","25929","0","0","0","25929","6109907","3","2023-11-07T15:54:29","2023-11-07T15:54:38","2023-11-07T15:55:21","2023-11-07T15:55:37","true"
"c5a.24xlarge","c6i.large","11321","198549436","809723","711395","0","4367841","0","266392","0","0","0","266392","56856040","3","2023-11-07T13:12:26","2023-11-07T13:15:58","2023-11-07T13:41:42","2023-11-07T13:42:52","true"
"r4.large","m4.large","312","199322418","763926","698820","0","4563340","0","261029","0","0","0","261029","57754932","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:35:51","2023-11-07T13:37:01","true"
"h1.2xlarge","m4.large","895","199315693","732957","668445","0","2634752","0","261414","0","0","0","261414","58279691","8","2023-11-07T13:12:28","2023-11-07T13:15:59","2023-11-07T13:29:32","2023-11-07T13:30:42","true"
"h1.16xlarge","i3.large","44437","668592","94617","79407","0","95731","0","29861","0","0","0","29861","7494294","11","2023-11-07T18:35:45","2023-11-07T18:35:54","2023-11-07T18:36:37","2023-11-07T18:37:06","true"
"x1e.xlarge","h1.2xlarge","581","199479139","822174","756990","0","2713780","0","261190","0","0","0","261190","59003944","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:32:47","2023-11-07T13:33:57","true"
"c6a.24xlarge","c4.8xlarge","8308","1203071","78434","64866","0","95727","0","30521","0","0","0","30521","3056772","6","2023-11-07T18:00:25","2023-11-07T18:00:35","2023-11-07T18:01:19","2023-11-07T18:01:34","true"
"m5a.2xlarge","c6i.large","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","6369519","3","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"m5a.large","c5.9xlarge","447","199373222","1299122","1213573","0","4563339","0","261029","0","0","0","261029","53691681","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:16:33","2023-11-07T13:17:49","true"
"m5.large","r4.8xlarge","16702","1080049","81216","69018","0","95734","0","32063","0","0","0","32063","2546403","5","2023-11-07T20:31:04","2023-11-07T20:31:13","2023-11-07T20:31:57","2023-11-07T20:32:12","false"
"c4.8xlarge","c6a.24xlarge","3561","200281186","694736","590902","0","3185139","0","262988","0","0","0","262988","58981917","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:01:47","2023-11-07T14:02:57","true"
"h1.2xlarge","c6a.large","895","199315693","732957","668445","0","2634752","0","261414","0","0","0","261414","57377856","5","2023-11-07T13:12:28","2023-11-07T13:15:59","2023-11-07T13:29:32","2023-11-07T13:30:42","true"
"m4.16xlarge","c5a.large","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","9562192","6","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","false"
"m5a.8xlarge","m4.large","228","491920","116527","100541","0","91485","0","25929","0","0","0","25929","4363070","15","2023-11-07T15:54:29","2023-11-07T15:54:38","2023-11-07T15:55:22","2023-11-07T15:55:37","true"
"x1e.8xlarge","h1.2xlarge","3094","200195717","841539","774129","0","3106471","0","262763","0","0","0","262763","57435429","7","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:07:21","2023-11-07T14:08:36","true"
"m5n.large","c5a.large","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","58316452","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:56","false"
"x1e.xlarge","c4.8xlarge","581","199479139","822174","756990","0","2713780","0","261190","0","0","0","261190","60742728","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:32:47","2023-11-07T13:33:57","false"
"c5.9xlarge","c6a.24xlarge","1663","200178766","624046","572499","0","3185139","0","262988","0","0","0","262988","61485345","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:42:33","2023-11-07T14:43:56","false"
"c5d.9xlarge","m5n.large","1987","199948597","625636","569897","0","3185149","0","262989","0","0","0","262989","58302433","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:33:59","2023-11-07T14:35:11","true"
"c6i.16xlarge","x1e.xlarge","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","58673937","6","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","false"
"c5a.24xlarge","m5n.large","286","592805","94090","79595","0","95723","0","29770","0","0","0","29770","3057278","5","2023-11-07T17:49:21","2023-11-07T17:49:33","2023-11-07T17:50:21","2023-11-07T17:50:37","true"
"c6i.16xlarge","m5a.2xlarge","68700","1337017","64414","52881","0","259595","0","35372","0","0","0","35372","2504686","8","2023-11-07T20:41:46","2023-11-07T20:41:55","2023-11-07T20:42:37","2023-11-07T20:42:52","false"
