"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success","count1","count2"
"h1.2xlarge","c5d.9xlarge","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","140907087","4","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:07","2023-09-19T13:52:40","true","40","82"
"m5zn.6xlarge","x1e.xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","139356251","7","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:20","false","26","26"
"i3.large","m5n.large","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","130824040","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","true","9","15"
"r4.large","m5a.large","3696","430615138","13137289","13009246","0","2987941","0","467219","0","0","0","467219","137421368","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:58:35","2023-09-19T14:01:08","false","3","3"
"h1.16xlarge","r4.8xlarge","22726","24984833","1750476","1465901","0","5696979","0","545831","0","0","0","545831","42783286","7","2023-09-20T20:08:32","2023-09-20T20:09:05","2023-09-20T20:09:44","2023-09-20T20:11:12","true","27","65"
"c6i.16xlarge","c6a.large","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","163097035","3","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:29","false","32","32"
"c6a.large","c4.8xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","143622195","16","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","23"
"c5a.24xlarge","m5zn.6xlarge","16746","25628078","1033173","859435","0","6268025","0","584369","0","0","0","584369","39934341","10","2023-09-20T15:42:17","2023-09-20T15:42:51","2023-09-20T15:43:26","2023-09-20T15:44:35","true","38","95"
"c4.8xlarge","c6a.24xlarge","10377","22214713","1274307","1091075","0","4386589","0","505678","0","0","0","505678","67884442","3","2023-09-20T16:44:57","2023-09-20T16:45:29","2023-09-20T16:46:14","2023-09-20T16:48:04","true","36","99"
"i3.large","m4.16xlarge","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","137878230","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","true","9","17"
"c5a.24xlarge","h1.8xlarge","16924","458224522","1043556","862057","0","6274192","0","584358","0","0","0","584358","174983749","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:06:50","2023-09-19T14:10:04","false","78","78"
"x1e.xlarge","m5a.2xlarge","1139","420199943","1467616","1354587","0","2995544","0","455587","0","0","0","455587","132103944","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:54:18","2023-09-19T13:56:52","false","11","11"
"c5.large","m5a.large","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","137547544","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:14","2023-09-19T14:55:47","false","12","12"
"c5d.9xlarge","c6i.16xlarge","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","135806815","10","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:38","2023-09-20T21:52:30","true","44","101"
"c5a.24xlarge","x1e.xlarge","16924","458224522","1043556","862057","0","6274192","0","584358","0","0","0","584358","174585894","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:06:50","2023-09-19T14:10:04","false","78","78"
"h1.8xlarge","c5d.9xlarge","8829","22121156","1484012","1341811","0","4321288","0","502326","0","0","0","502326","62982913","10","2023-09-20T19:55:56","2023-09-20T19:56:28","2023-09-20T19:57:19","2023-09-20T19:58:49","true","25","78"
"h1.2xlarge","c4.8xlarge","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","140456584","6","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:07","2023-09-19T13:52:40","true","39","76"
"i3.large","c6a.24xlarge","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","136334923","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","false","8","8"
"c4.8xlarge","x1e.xlarge","10449","444673536","1350431","1177110","0","4469695","0","496141","0","0","0","496141","147603081","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:16:22","2023-09-19T14:19:00","true","57","68"
"m5a.2xlarge","c5a.large","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","144930115","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","32","41"
"m5zn.6xlarge","c6a.large","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","126717407","2","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:20","false","26","26"
"m5.large","h1.16xlarge","302","429499686","219694939","219614356","0","2987946","0","467219","0","0","0","467219","139010378","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:01:43","2023-09-19T15:04:17","false","12","12"
"m5a.large","m5a.2xlarge","503","429761277","209554218","209446984","0","2987833","0","467217","0","0","0","467217","134488421","8","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:24:48","2023-09-19T13:27:23","true","10","16"
"m5a.8xlarge","h1.16xlarge","12626","21226292","2057537","1249277","0","4778705","0","510781","0","0","0","510781","57775024","8","2023-09-20T14:21:53","2023-09-20T14:22:23","2023-09-20T14:23:05","2023-09-20T14:24:28","true","21","82"
"m5zn.6xlarge","m5.large","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","138078569","4","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:20","true","27","34"
"h1.16xlarge","c6a.large","22018","454405390","23329346","22991933","0","5569091","0","541870","0","0","0","541870","160030954","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:24:50","2023-09-19T14:27:52","true","58","68"
"c5.9xlarge","c6a.24xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","144631356","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:47","false","96","96"
"m5.large","c6i.large","302","429499686","219694939","219614356","0","2987946","0","467219","0","0","0","467219","136857896","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:01:42","2023-09-19T15:04:17","true","14","22"
"r4.16xlarge","c5.large","23674","455299894","1785667","1492460","0","5698403","0","545882","0","0","0","545882","160347775","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:44:30","2023-09-19T14:47:32","false","85","85"
"x1e.8xlarge","m4.large","9080","440563478","1593326","1442666","0","4238264","0","493722","0","0","0","493722","143532682","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:29:28","2023-09-19T14:33:57","true","74","80"
"h1.16xlarge","x1e.8xlarge","22726","24984833","1750476","1465901","0","5696979","0","545831","0","0","0","545831","45997499","8","2023-09-20T20:08:32","2023-09-20T20:09:05","2023-09-20T20:09:45","2023-09-20T20:11:12","true","27","63"
"h1.2xlarge","c6a.large","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","141602192","3","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:07","2023-09-19T13:52:40","true","34","44"
"h1.8xlarge","c6a.large","7309","443898334","1454781","1318154","0","4245754","0","493756","0","0","0","493756","143097575","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:20:36","2023-09-19T14:23:13","true","59","69"
"c6a.large","h1.8xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","144267577","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:53","2023-09-19T13:44:38","true","13","21"
"c5.large","r4.8xlarge","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","136602360","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:14","2023-09-19T14:55:47","false","12","12"
"r4.8xlarge","c6i.large","8860","22326941","1490484","1350583","0","4776884","0","510767","0","0","0","510767","23284044","3","2023-09-20T23:58:33","2023-09-20T23:59:03","2023-09-20T23:59:48","2023-09-21T00:00:43","false","27","27"
"c6a.large","x1e.8xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","143877974","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","21"
"m4.16xlarge","m5n.large","22121","452015919","1712099","1449854","0","5514512","0","528839","0","0","0","528839","155973176","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:35:35","2023-09-19T14:38:32","false","47","47"
"m4.large","c4.8xlarge","460","32160495","8826853","8700036","0","2987880","0","467218","0","0","0","467218","17934189","7","2023-09-20T14:56:25","2023-09-20T14:57:05","2023-09-20T14:57:40","2023-09-20T14:58:08","true","4","13"
"c6a.24xlarge","m5a.large","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","173229414","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","true","84","91"
"m5.large","x1e.xlarge","302","429499686","219694939","219614356","0","2987946","0","467219","0","0","0","467219","139026609","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:01:43","2023-09-19T15:04:17","false","12","12"
"r4.16xlarge","m5a.large","23674","455299894","1785667","1492460","0","5698403","0","545882","0","0","0","545882","162158562","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:44:30","2023-09-19T14:47:32","false","85","85"
"m5zn.6xlarge","m5a.2xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","125435652","6","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:34","2023-09-20T22:08:20","false","26","26"
"m5a.2xlarge","h1.16xlarge","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","145783256","122","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","37","69"
"m5n.large","c6a.24xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","135696946","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"r4.large","m5a.2xlarge","3696","430615138","13137289","13009246","0","2987941","0","467219","0","0","0","467219","133139304","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:58:36","2023-09-19T14:01:08","false","3","3"
"c5.9xlarge","x1e.8xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","146129828","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
"m5a.8xlarge","c5.9xlarge","12626","21226292","2057537","1249277","0","4778705","0","510781","0","0","0","510781","58274815","4","2023-09-20T14:21:53","2023-09-20T14:22:23","2023-09-20T14:23:05","2023-09-20T14:24:27","true","22","75"
"h1.8xlarge","h1.2xlarge","7309","443898334","1454781","1318154","0","4245754","0","493756","0","0","0","493756","146329371","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:20:36","2023-09-19T14:23:13","true","63","84"
"c5.large","x1e.xlarge","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","137447602","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:15","2023-09-19T14:55:47","false","12","12"
"m5n.large","c5.9xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","137536762","10","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","true","12","22"
"c6a.24xlarge","c5a.large","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","170975439","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","true","83","93"
"m5zn.6xlarge","c6i.large","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","140436805","3","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:19","true","27","36"
"r4.8xlarge","i3.large","7489","440311903","1564657","1420956","0","4165469","0","485058","0","0","0","485058","142830337","9","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:40:16","2023-09-19T14:42:57","true","51","57"
"x1e.8xlarge","m5a.8xlarge","9080","440563478","1593326","1442666","0","4238264","0","493722","0","0","0","493722","138952815","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:29:28","2023-09-19T14:33:57","false","73","73"
"c6i.large","r4.16xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136828938","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"c6i.large","c5a.large","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","135177077","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"c6a.24xlarge","h1.8xlarge","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","172068816","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","false","83","83"
"m5a.2xlarge","m5n.large","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","143363475","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","32","39"
"m4.large","m5zn.6xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","135237173","11","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","7","21"
"m5a.large","c5a.large","503","429761277","209554218","209446984","0","2987833","0","467217","0","0","0","467217","136553755","4","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:24:48","2023-09-19T13:27:22","true","10","18"
"i3.large","c5a.24xlarge","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","138042715","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","false","8","8"
"r4.8xlarge","x1e.xlarge","7489","440311903","1564657","1420956","0","4165469","0","485058","0","0","0","485058","144675588","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:40:16","2023-09-19T14:42:57","true","52","63"
"c4.8xlarge","c6a.large","10449","444673536","1350431","1177110","0","4469695","0","496141","0","0","0","496141","148160336","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:16:22","2023-09-19T14:19:01","true","57","67"
"m4.16xlarge","i3.large","22121","452015919","1712099","1449854","0","5514512","0","528839","0","0","0","528839","152992282","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:35:34","2023-09-19T14:38:32","true","48","54"
"i3.large","m5zn.6xlarge","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","132371132","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","true","10","24"
"m5a.2xlarge","c6i.large","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","142988484","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","32","41"
"c6i.large","r4.large","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136452652","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"m5n.large","m4.16xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","137378466","16","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"h1.2xlarge","c6i.large","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","136575503","2","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:06","2023-09-19T13:52:40","false","32","32"
"c6a.24xlarge","m4.large","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","173077762","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","false","83","83"
"m4.large","r4.8xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","138427212","18","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","15"
"h1.2xlarge","h1.16xlarge","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","141634425","7","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:06","2023-09-19T13:52:40","true","38","71"
"r4.large","m5.large","3696","430615138","13137289","13009246","0","2987941","0","467219","0","0","0","467219","137680025","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:58:36","2023-09-19T14:01:09","true","5","11"
"h1.16xlarge","c6i.large","22018","454405390","23329346","22991933","0","5569091","0","541870","0","0","0","541870","158978759","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:24:50","2023-09-19T14:27:52","false","57","57"
"c5d.9xlarge","m5zn.6xlarge","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","152293360","11","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:38","2023-09-20T21:52:29","true","31","87"
"c6a.large","m5zn.6xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","141422312","10","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","28"
"m5n.large","m5a.2xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","136179813","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"c4.8xlarge","r4.8xlarge","10377","22214713","1274307","1091075","0","4386589","0","505678","0","0","0","505678","55506775","7","2023-09-20T16:44:57","2023-09-20T16:45:29","2023-09-20T16:46:14","2023-09-20T16:48:04","true","35","73"
"c5d.9xlarge","r4.16xlarge","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","147653412","17","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:38","2023-09-20T21:52:30","false","21","21"
"m4.large","r4.16xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","138375108","8","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:41","true","6","14"
"h1.8xlarge","c6i.16xlarge","8829","22121156","1484012","1341811","0","4321288","0","502326","0","0","0","502326","72498447","11","2023-09-20T19:55:56","2023-09-20T19:56:28","2023-09-20T19:57:19","2023-09-20T19:58:49","true","33","101"
"x1e.8xlarge","r4.large","9080","440563478","1593326","1442666","0","4238264","0","493722","0","0","0","493722","143822961","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:29:28","2023-09-19T14:33:57","true","74","80"
"x1e.xlarge","c5d.9xlarge","1139","420199943","1467616","1354587","0","2995544","0","455587","0","0","0","455587","135342529","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:54:18","2023-09-19T13:56:52","true","15","36"
"m5.large","r4.16xlarge","302","429499686","219694939","219614356","0","2987946","0","467219","0","0","0","467219","137278682","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:01:43","2023-09-19T15:04:17","false","12","12"
"r4.large","r4.8xlarge","3696","430615138","13137289","13009246","0","2987941","0","467219","0","0","0","467219","137629215","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:58:35","2023-09-19T14:01:08","true","5","13"
"c5a.24xlarge","r4.8xlarge","16924","458224522","1043556","862057","0","6274192","0","584358","0","0","0","584358","173361336","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:06:50","2023-09-19T14:10:04","false","78","78"
"r4.8xlarge","c5a.24xlarge","7489","440311903","1564657","1420956","0","4165469","0","485058","0","0","0","485058","142883332","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:40:16","2023-09-19T14:42:57","false","50","50"
"x1e.8xlarge","m4.16xlarge","9389","20839327","1517884","1375321","0","4104416","0","472222","0","0","0","472222","37910704","8","2023-09-20T20:20:28","2023-09-20T20:20:56","2023-09-20T20:21:32","2023-09-20T20:22:46","true","30","85"
"x1e.xlarge","c6a.large","1139","420199943","1467616","1354587","0","2995544","0","455587","0","0","0","455587","135395186","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:54:18","2023-09-19T13:56:52","false","11","11"
"c5.9xlarge","c5a.large","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","148234690","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
"c6i.16xlarge","c6i.large","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","163444309","3","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:29","true","33","42"
"c6a.large","h1.16xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","144114653","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","21"
"c6i.large","m5a.2xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136729773","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"m5zn.6xlarge","h1.16xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","138622033","7","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:19","false","26","26"
"h1.16xlarge","m4.large","22018","454405390","23329346","22991933","0","5569091","0","541870","0","0","0","541870","160450449","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:24:50","2023-09-19T14:27:52","true","58","64"
"c4.8xlarge","r4.large","10449","444673536","1350431","1177110","0","4469695","0","496141","0","0","0","496141","147467333","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:16:22","2023-09-19T14:19:00","true","56","62"
"c5.9xlarge","r4.16xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","148802175","16","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
"r4.16xlarge","c5d.9xlarge","23674","455299894","1785667","1492460","0","5698403","0","545882","0","0","0","545882","162627776","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:44:30","2023-09-19T14:47:32","false","85","85"
"m5a.large","r4.8xlarge","503","429761277","209554218","209446984","0","2987833","0","467217","0","0","0","467217","138006817","7","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:24:48","2023-09-19T13:27:23","true","10","19"
"h1.2xlarge","m4.large","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","140317408","8","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:06","2023-09-19T13:52:40","true","34","39"
"i3.large","r4.8xlarge","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","137489902","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","true","9","18"
"r4.large","h1.16xlarge","3696","430615138","13137289","13009246","0","2987941","0","467219","0","0","0","467219","137558443","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:58:36","2023-09-19T14:01:08","true","5","13"
"c6i.16xlarge","i3.large","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","157184201","8","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:29","false","32","32"
"c5a.large","c6a.24xlarge","312","420354634","358157719","357961060","0","2910823","0","454355","0","0","0","454355","133302875","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:37:38","2023-09-19T13:40:15","true","14","26"
"h1.8xlarge","c5.9xlarge","8829","22121156","1484012","1341811","0","4321288","0","502326","0","0","0","502326","72410651","10","2023-09-20T19:55:56","2023-09-20T19:56:28","2023-09-20T19:57:19","2023-09-20T19:58:49","true","24","76"
"c6i.16xlarge","c5a.large","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","151535358","3","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:12","2023-09-20T21:37:29","false","32","32"
"c5a.24xlarge","c5.9xlarge","16746","25628078","1033173","859435","0","6268025","0","584369","0","0","0","584369","47798844","4","2023-09-20T15:42:17","2023-09-20T15:42:51","2023-09-20T15:43:26","2023-09-20T15:44:35","true","35","92"
"c5a.24xlarge","c5d.9xlarge","16746","25628078","1033173","859435","0","6268025","0","584369","0","0","0","584369","39889275","3","2023-09-20T15:42:17","2023-09-20T15:42:51","2023-09-20T15:43:26","2023-09-20T15:44:35","true","38","94"
"m5n.large","h1.2xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","137631953","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"x1e.8xlarge","h1.8xlarge","9389","20839327","1517884","1375321","0","4104416","0","472222","0","0","0","472222","46774738","7","2023-09-20T20:20:28","2023-09-20T20:20:56","2023-09-20T20:21:32","2023-09-20T20:22:43","true","28","61"
"m5zn.6xlarge","h1.8xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","141082437","8","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:36","2023-09-20T22:08:20","false","26","26"
"i3.large","m5a.large","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","135355594","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","false","8","8"
"i3.large","h1.16xlarge","563","427344780","37298498","37170232","0","2987944","0","467220","0","0","0","467220","137807470","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:02:42","2023-09-19T14:05:16","true","9","17"
"c6i.large","c5a.24xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","132083256","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"c6a.24xlarge","m5a.2xlarge","14610","25315151","925038","747389","0","6279349","0","584372","0","0","0","584372","48057859","5","2023-09-20T15:53:14","2023-09-20T15:53:47","2023-09-20T15:54:23","2023-09-20T15:58:46","true","32","47"
"h1.16xlarge","m5.large","22018","454405390","23329346","22991933","0","5569091","0","541870","0","0","0","541870","160783411","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:24:50","2023-09-19T14:27:52","false","57","57"
"c5.9xlarge","c5a.24xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","147280433","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
