"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success","count1","count2"
"m4.16xlarge","c6a.large","22121","452015919","1712099","1449854","0","5514512","0","528839","0","0","0","528839","154786810","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:35:35","2023-09-19T14:38:32","false","47","47"
"c6a.24xlarge","c6i.large","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","166925478","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","true","83","94"
"m4.large","m5a.8xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","133026129","6","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","12"
"m4.large","c6a.large","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","138165701","3","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","14"
"x1e.8xlarge","m5zn.6xlarge","9080","440563478","1593326","1442666","0","4238264","0","493722","0","0","0","493722","141782106","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:29:28","2023-09-19T14:33:57","false","73","73"
"r4.8xlarge","c6a.large","9044","21692450","1466238","1325595","0","4303483","0","502218","0","0","0","502218","35124835","2","2023-09-20T23:15:31","2023-09-20T23:16:02","2023-09-20T23:16:47","2023-09-20T23:17:38","false","32","32"
"m5a.8xlarge","m5zn.6xlarge","12626","21226292","2057537","1249277","0","4778705","0","510781","0","0","0","510781","67146942","11","2023-09-20T14:21:53","2023-09-20T14:22:23","2023-09-20T14:23:05","2023-09-20T14:24:27","true","20","75"
"m5a.8xlarge","c5a.24xlarge","12626","21226292","2057537","1249277","0","4778705","0","510781","0","0","0","510781","65675552","3","2023-09-20T14:21:53","2023-09-20T14:22:23","2023-09-20T14:23:05","2023-09-20T14:24:27","true","22","85"
"m5n.large","r4.large","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","137406555","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"x1e.8xlarge","c6a.24xlarge","9080","440563478","1593326","1442666","0","4238264","0","493722","0","0","0","493722","144096194","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:29:28","2023-09-19T14:33:57","false","73","73"
"m5.large","i3.large","302","429499686","219694939","219614356","0","2987946","0","467219","0","0","0","467219","137500363","13","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:01:42","2023-09-19T15:04:17","false","12","12"
"c5d.9xlarge","m5n.large","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","151815177","4","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:38","2023-09-20T21:52:30","true","22","29"
"c5.9xlarge","c5.large","5246","21777991","1127224","1018865","0","4384311","0","496978","0","0","0","496978","59180749","4","2023-09-20T22:19:15","2023-09-20T22:19:47","2023-09-20T22:20:32","2023-09-20T22:21:56","true","31","39"
"r4.8xlarge","h1.16xlarge","9183","21983652","1464712","1324642","0","4309588","0","502210","0","0","0","502210","57850072","7","2023-09-20T20:44:32","2023-09-20T20:45:00","2023-09-20T20:45:38","2023-09-20T20:47:04","true","32","92"
"r4.16xlarge","x1e.xlarge","25243","23119180","1763727","1481714","0","5505147","0","528846","0","0","0","528846","71649585","13","2023-09-20T20:57:12","2023-09-20T20:57:43","2023-09-20T20:58:24","2023-09-20T21:00:01","true","29","39"
"c5.large","c6i.16xlarge","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","137252634","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:14","2023-09-19T14:55:47","true","15","29"
"m5zn.6xlarge","c5a.24xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","139495249","3","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:19","false","26","26"
"m5zn.6xlarge","c4.8xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","139316151","17","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:20","false","26","26"
"c5.9xlarge","c6i.large","5246","21777991","1127224","1018865","0","4384311","0","496978","0","0","0","496978","52916790","3","2023-09-20T22:19:15","2023-09-20T22:19:47","2023-09-20T22:20:32","2023-09-20T22:21:57","true","31","41"
"c5d.9xlarge","c5.large","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","152120905","4","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:37","2023-09-20T21:52:29","true","22","29"
"m5a.8xlarge","m5.large","10941","443939443","1537851","1309672","0","4240092","0","493750","0","0","0","493750","145982452","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:33:20","2023-09-19T13:36:00","true","40","47"
