"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m5n.large","c6a.large","111","181229","21504","355","0","2173","0","125","0","0","0","125","23466","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:05:12","2023-11-10T15:05:27","false"
"m5.large","m5a.2xlarge","105","789939","16566","360","0","2173","0","126","0","0","0","126","31651","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:06:49","2023-11-10T15:07:04","false"
"c4.8xlarge","c5.large","161","800114","10987","401","0","2173","0","126","0","0","0","126","26826","4","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:50:59","2023-11-10T14:51:15","true"
"r4.8xlarge","c6a.large","172","805287","17532","437","0","2173","0","126","0","0","0","126","22438","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:58:44","2023-11-10T14:58:59","false"
"c6i.large","c5d.9xlarge","75","773855","16056","254","0","2173","0","127","0","0","0","127","28312","9","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:01:58","2023-11-10T15:02:14","false"
"r4.16xlarge","m4.large","179","814203","12166","485","0","2173","0","127","0","0","0","127","30390","8","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:00:20","2023-11-10T15:00:36","true"
"c5a.large","r4.large","150","169503","22438","511","0","2173","0","126","0","0","0","126","31636","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:32:32","2023-11-10T14:32:48","false"
"h1.8xlarge","m5n.large","160","786732","12017","427","0","2173","0","126","0","0","0","126","24266","4","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:52:29","2023-11-10T14:52:45","true"
"x1e.xlarge","h1.16xlarge","174","781115","17986","484","0","2173","0","125","0","0","0","125","27982","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:38:50","2023-11-10T14:39:05","true"
"c5.9xlarge","c6a.24xlarge","147","752602","18947","353","0","2173","0","126","0","0","0","126","30813","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:13:20","2023-11-10T15:13:36","false"
"m5a.large","h1.2xlarge","273","756642","15957","654","0","2173","0","127","0","0","0","127","29518","7","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T14:27:29","2023-11-10T14:27:46","false"
"x1e.8xlarge","m5a.2xlarge","179","794123","11088","498","0","2173","0","126","0","0","0","126","36031","9","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:55:28","2023-11-10T14:55:43","false"
"m5zn.6xlarge","c5d.9xlarge","140","813750","18094","375","0","2173","0","126","0","0","0","126","29958","10","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:11:41","2023-11-10T15:12:00","true"
"m4.large","h1.8xlarge","324","744693","9656","458","0","2173","0","126","0","0","0","126","41406","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:35:50","2023-11-10T14:36:06","true"
"c5d.9xlarge","r4.large","149","797282","12214","351","0","2173","0","126","0","0","0","126","32242","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:10:05","2023-11-10T15:10:21","false"
"m5n.large","m5a.large","111","181229","21504","355","0","2173","0","125","0","0","0","125","33728","8","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:05:12","2023-11-10T15:05:28","false"
"c5d.9xlarge","m5a.2xlarge","149","797282","12214","351","0","2173","0","126","0","0","0","126","34010","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:10:05","2023-11-10T15:10:20","false"
"x1e.8xlarge","i3.large","179","794123","11088","498","0","2173","0","126","0","0","0","126","30228","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:55:28","2023-11-10T14:55:43","true"
"m5a.large","c5a.large","273","756642","15957","654","0","2173","0","127","0","0","0","127","29042","6","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T14:27:29","2023-11-10T14:27:46","true"
"x1e.8xlarge","h1.8xlarge","179","794123","11088","498","0","2173","0","126","0","0","0","126","36146","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:55:28","2023-11-10T14:55:43","true"
"c5d.9xlarge","c5a.24xlarge","149","797282","12214","351","0","2173","0","126","0","0","0","126","26712","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:10:05","2023-11-10T15:10:20","false"
"r4.16xlarge","c6a.large","179","814203","12166","485","0","2173","0","127","0","0","0","127","21386","6","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:00:20","2023-11-10T15:00:36","false"
"m5n.large","c5a.large","111","181229","21504","355","0","2173","0","125","0","0","0","125","35069","6","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:05:12","2023-11-10T15:05:27","false"
"m4.large","c6i.large","324","744693","9656","458","0","2173","0","126","0","0","0","126","21518","3","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:35:50","2023-11-10T14:36:06","true"
"c5a.24xlarge","r4.large","280","787018","12822","477","0","2173","0","125","0","0","0","125","33233","7","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:47:46","2023-11-10T14:48:02","false"
"x1e.xlarge","c5a.24xlarge","174","781115","17986","484","0","2173","0","125","0","0","0","125","21064","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:38:50","2023-11-10T14:39:05","false"
"h1.2xlarge","m5zn.6xlarge","164","799107","18376","410","0","2173","0","126","0","0","0","126","35132","10","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:37:19","2023-11-10T14:37:36","true"
"h1.16xlarge","r4.8xlarge","159","819692","16539","438","0","2173","0","127","0","0","0","127","36075","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:53:58","2023-11-10T14:54:14","true"
"m5a.large","h1.16xlarge","273","756642","15957","654","0","2173","0","127","0","0","0","127","33212","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T14:27:30","2023-11-10T14:27:46","false"
"c5a.large","c5.large","150","169503","22438","511","0","2173","0","126","0","0","0","126","21551","4","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:32:32","2023-11-10T14:32:47","false"
"m5.large","m5a.large","105","789939","16566","360","0","2173","0","126","0","0","0","126","37624","9","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:06:49","2023-11-10T15:07:04","false"
"c5a.large","c6a.24xlarge","150","169503","22438","511","0","2173","0","126","0","0","0","126","26583","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:32:32","2023-11-10T14:32:48","true"
"m5.large","r4.8xlarge","105","789939","16566","360","0","2173","0","126","0","0","0","126","31900","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:06:48","2023-11-10T15:07:04","false"
"c5a.large","h1.2xlarge","150","169503","22438","511","0","2173","0","126","0","0","0","126","36611","7","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:32:32","2023-11-10T14:32:47","false"
"c4.8xlarge","c5.9xlarge","161","800114","10987","401","0","2173","0","126","0","0","0","126","26665","4","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:51:00","2023-11-10T14:51:15","true"
"m5a.2xlarge","h1.16xlarge","201","798130","19461","619","0","2173","0","126","0","0","0","126","33119","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:29:12","2023-11-10T14:29:30","false"
